QID,Method,Prompt,Entity,Relation,Ontology,Question,Answer
B-1,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",What criteria are used to determine the severity level of a vulnerability?,"Factors such as potential impact, exploitability, and affected systems are considered when determining the severity level of a vulnerability."
B-2,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",Can you provide some examples of high-severity vulnerabilities?,"Examples of high-severity vulnerabilities include remote code execution vulnerabilities, critical privilege escalation flaws, and widespread cross-site scripting vulnerabilities."
B-3,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",How is the severity level of a vulnerability determined?,"The severity level of a vulnerability is typically determined by analyzing its potential consequences, ease of exploitation, and the systems it affects."
B-4,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",What factors contribute to the severity rating of a vulnerability?,"The severity rating of a vulnerability is influenced by factors such as the impact it can have on confidentiality, integrity, and availability, as well as its exploitability and the prevalence of affected systems."
B-5,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",What considerations are taken into account when assessing the severity level of a vulnerability?,"When assessing the severity level of a vulnerability, factors such as the potential damage it can cause, the likelihood of successful exploitation, and the number of systems at risk are taken into consideration."
B-6,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",Which characteristics are evaluated to determine the severity level of a vulnerability?,"Characteristics such as the potential harm, the level of access or control gained through exploitation, and the presence of known mitigations are evaluated to determine the severity level of a vulnerability."
B-7,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",What factors are examined to assign a severity level to a vulnerability?,"To assign a severity level to a vulnerability, factors such as the impact on system availability, the sensitivity of the information at risk, and the level of effort required to exploit the vulnerability are examined."
B-8,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",What are some key elements considered when rating the severity level of a vulnerability?,"Key elements considered when rating the severity level of a vulnerability include the potential for unauthorized access, the scope of the vulnerability's impact, and the urgency of applying a patch or mitigation."
B-9,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",How are vulnerabilities categorized in terms of severity?,"Vulnerabilities are often categorized in terms of severity based on their potential to cause harm, ranging from low-severity issues with minimal impact to high-severity vulnerabilities that can lead to significant damage or compromise."
B-10,In-Context Learning,"""Generate 10 questions with answer similar to questions, Q1: What factors are considered when determining the severity level of a vulnerability?, Q2: What are some examples of high-severity vulnerabilities?"". Use JSON format.""","['severity level', 'vulnerability']",['can_analyze'],"[['feature', 'can_analyze', 'vulnerability']]",What factors are weighted when assigning a severity level to a vulnerability?,"When assigning a severity level to a vulnerability, factors such as the likelihood of exploitation, the potential for data loss or unauthorized access, and the difficulty of applying effective mitigations are weighted."
